talent_id,role_id,order
nm0001051,2,1
nm0001051,6,2
nm0001051,10,3
nm0001056,2,1
nm0001056,3,2
nm0001056,1,3
nm0001062,2,1
nm0001063,2,1
nm0001063,1,2
nm0001063,5,3
nm0001067,2,1
nm0001067,3,2
nm0001067,1,3
nm0001070,2,1
nm0001070,6,2
nm0001070,10,3
nm0001091,4,1
nm0001096,2,1
nm0001096,1,2
nm0001097,2,1
nm0001097,7,2
nm0001097,6,3
nm0001101,2,1
nm0001101,5,2
nm0001101,1,3
nm0001103,2,1
nm0001103,5,2
nm0001103,7,3
nm0001122,5,1
nm0001122,6,2
nm0001122,4,3
nm0001128,2,1
nm0001128,5,2
nm0001128,6,3
nm0001134,2,1
nm0001134,1,2
nm0001142,4,1
nm0001142,5,2
nm0001142,3,3
nm0001144,1,1
nm0001144,4,2
nm0001144,9,3
nm0001155,2,1
nm0001155,7,2
nm0001155,5,3
nm0001157,4,1
nm0001157,1,2
nm0001157,5,3
nm0001159,4,1
nm0001159,5,2
nm0001159,7,3
nm0001162,2,1
nm0001162,7,2
nm0001162,5,3
nm0001168,1,1
nm0001168,10,2
nm0001168,9,3
nm0001171,2,1
nm0001171,1,2
nm0001171,5,3
nm0001175,6,1
nm0001175,5,2
nm0001175,7,3
nm0001181,2,1
nm0001181,1,2
nm0001185,2,1
nm0001185,1,2
nm0001185,7,3
nm0001188,6,1
nm0001188,5,2
nm0001188,7,3
nm0001191,2,1
nm0001191,5,2
nm0001191,6,3
nm0001193,4,1
nm0001193,5,2
nm0001193,1,3
nm0001198,4,1
nm0001198,5,2
nm0001226,7,1
nm0001226,6,2
nm0001226,2,3
nm0001234,2,1
nm0001234,1,2
nm0001234,5,3
nm0001240,2,1
nm0001240,6,2
nm0001240,5,3
nm0001248,4,1
nm0001248,1,2
nm0001262,2,1
nm0001262,7,2
nm0001262,1,3
nm0001264,4,1
nm0001264,5,2
nm0001264,1,3
nm0001283,2,1
nm0001283,5,2
nm0001283,1,3
nm0001285,2,1
nm0001285,1,2
nm0001285,5,3
nm0001288,5,1
nm0001288,2,2
nm0001288,1,3
nm0001294,6,1
nm0001294,2,2
nm0001294,5,3
nm0001296,2,1
nm0001296,1,2
nm0001296,5,3
nm0001298,2,1
nm0001298,5,2
nm0001298,7,3
nm0001301,2,1
nm0001301,6,2
nm0001301,1,3
nm0001308,2,1
nm0001308,1,2
nm0001309,2,1
nm0001309,5,2
nm0001309,1,3
nm0001319,2,1
nm0001319,5,2
nm0001319,7,3
nm0001329,2,1
nm0001329,5,2
nm0001339,4,1
nm0001345,2,1
nm0001345,6,2
nm0001345,5,3
nm0001349,4,1
nm0001349,5,2
nm0001349,1,3
nm0001356,2,1
nm0001356,5,2
nm0001356,1,3
nm0001358,2,1
nm0001358,7,2
nm0001358,6,3
nm0001363,4,1
nm0001363,1,2
nm0001363,6,3
nm0001377,4,1
nm0001377,1,2
nm0001378,4,1
nm0001378,7,2
nm0001378,5,3
nm0001399,4,1
nm0001399,7,2
nm0001399,5,3
nm0001409,2,1
nm0001421,2,1
nm0001421,3,2
nm0001439,2,1
nm0001439,5,2
nm0001439,6,3
nm0001446,2,1
nm0001446,5,2
nm0001446,6,3
nm0001450,4,1
nm0001450,5,2
nm0001450,1,3
nm0001455,2,1
nm0001455,5,2
nm0001455,1,3
nm0001460,5,1
nm0001460,7,2
nm0001460,3,3
nm0001461,4,1
nm0001461,5,2
nm0001461,1,3
nm0001468,6,1
nm0001468,5,2
nm0001468,2,3
nm0001476,2,1
nm0001476,1,2
nm0001478,4,1
nm0001478,1,2
nm0001480,4,1
nm0001480,1,2
nm0001480,5,3
nm0001486,7,1
nm0001486,5,2
nm0001486,6,3
nm0001489,2,1
nm0001489,1,2
nm0001489,6,3
nm0001495,2,1
nm0001495,20,2
nm0001495,1,3
nm0001497,2,1
nm0001497,5,2
nm0001497,7,3
nm0001502,7,1
nm0001502,5,2
nm0001502,6,3
nm0001518,2,1
nm0001518,7,2
nm0001518,6,3
nm0001535,2,1
nm0001535,5,2
nm0001535,1,3
nm0001538,2,1
nm0001538,7,2
nm0001538,1,3
nm0001544,2,1
nm0001544,1,2
nm0001544,7,3
nm0001551,1,1
