talent_id,talent_name,birth_year,death_year
nm0002574,Gerard DiNardi,\N,\N
nm0002615,Siegmund Lubin,1851,1923
nm0002616,Anita Loos,1889,1981
nm0002626,Lee Holdridge,1944,\N
nm0002640,Norman Orenstein,\N,\N
nm0002649,Yûki Masuda,1973,\N
nm0002657,Gary Ross,1956,\N
nm0002685,Roger Neill,1963,\N
nm0002690,Danica DeCosto,1976,\N
nm0002712,Bas Dumoulin,1972,\N
nm0002728,Juan José Campanella,1959,\N
nm0002739,Daniel Geller,\N,\N
nm0002743,Daniel McVicar,1958,\N
nm0002744,Chris Baugh,\N,\N
nm0002749,Michael Nankin,1955,\N
nm0002766,Larry Lalonde,\N,\N
nm0002776,Johnny Hallyday,1943,2017
nm0002862,Ernst Winar,1894,1978
nm0002877,José Retra,\N,\N
nm0002935,Moe Howard,1897,1975
nm0002992,Jeff Economy,1965,\N
nm0003005,Gary Lionelli,\N,\N
nm0003024,Roberto Cimatti,1954,\N
nm0003134,Gregory Poppen,1963,\N
nm0003139,Ingo Frenzel,1966,\N
nm0003147,Andrew Deskin,\N,\N
nm0003150,Michael Katleman,1960,\N
nm0003215,Warren Yeager,\N,\N
nm0003259,Nils Post,1960,\N
nm0003286,Taylor St. Clair,1969,\N
nm0003318,Howard Duff,1913,1990
nm0003328,Peter Foldy,\N,\N
nm0003337,Karlheinz Böhm,1928,2014
nm0003340,Marcel Jullian,1922,2004
nm0003421,George Grossmith,1847,1912
nm0003422,Louis King,1898,1962
nm0003424,Hank Mann,1887,1971
nm0003442,Matthias Grunsky,1971,\N
nm0003492,Heinrich Schafmeister,1957,\N
nm0003499,Victor Brooks,1918,2000
nm0003501,Jamie Gillis,1943,2010
nm0003506,James Mangold,1963,\N
nm0003510,Melanie J. Elin,1971,\N
nm0003517,Jean Beaudoin,\N,\N
nm0003537,Jerry A. Vasilatos,\N,\N
nm0003557,Richard J. Lewis,\N,\N
nm0003586,Theo Lingen,1903,1978
nm0003615,Fabrice Nordmann,1974,\N
nm0003647,George Keller,1953,\N
nm0003655,Seth C. Walsh,\N,\N
nm0003668,Brian Benison,\N,\N
nm0003670,Andreas Morell,1946,\N
nm0003685,Elwira Pluta,1967,\N
nm0003796,Ricky Edwards,\N,\N
nm0003823,Richard McQuilkin,\N,\N
nm0003847,Bryan Donnell,1968,\N
nm0003859,Owen Brenman,1956,\N
nm0003907,Peter Rosen,\N,\N
nm0003931,Steve Balderson,1975,\N
nm0003962,Mike Rotman,\N,\N
nm0003972,Ryan Shore,1974,\N
nm0004020,Steven Douglas Smith,\N,\N
nm0004079,Jim Michaels,1965,\N
nm0004089,Matthew Irving,1971,\N
nm0004121,Mikael Salomon,1945,\N
nm0004170,Bob Kane,1915,1998
nm0004242,Fidel Castro,1926,2016
nm0004247,Bob Sarles,1957,\N
nm0004262,Lynn Marie Latham,\N,\N
nm0004309,Shirley Knight,1936,\N
nm0004310,Larry Fine,1902,1975
nm0004316,Phil Judd,1953,\N
nm0004365,Fred Williamson,1938,\N
nm0004372,Gary Graver,1938,2006
nm0004388,Michael Selditch,1966,\N
nm0004416,S.P. Balasubrahmanyam,1946,\N
nm0004429,Dharmendra,1935,\N
nm0004435,Rajesh Khanna,1942,2012
nm0004461,George Verschoor,\N,\N
nm0004462,Jean-Louis Trintignant,1930,\N
nm0004464,Heinz Rühmann,1902,1994
nm0004471,Subhalekha Sudhakar,\N,\N
nm0004475,Mitch Engel,1958,\N
nm0004517,Jason Alexander,1959,\N
nm0004524,Pat Sandys,1926,2000
nm0004536,Annika Hellström,\N,\N
nm0004537,Thomas Merker,1958,\N
nm0004564,Hema Malini,1948,\N
nm0004570,Sunil Dutt,1930,2005
nm0004692,Mark Addy,1964,\N
nm0004702,Marty Allen,1922,2018
nm0004706,Louie Anderson,1953,\N
nm0004718,Desmond Askew,1972,\N
nm0004725,Charles Barkley,1963,\N
nm0004726,Lance Bass,1979,\N
nm0004731,Garcelle Beauvais,1966,\N
nm0004739,Lauralee Bell,1968,\N
nm0004740,Bill Bellamy,1965,\N
nm0004745,Paulo Benedeti,1975,\N
nm0004746,Tony Bennett,1926,\N
nm0004747,Wes Bentley,1978,\N
nm0004751,Crystal Bernard,1961,\N
nm0004760,Jennifer Blanc-Biehn,1971,\N
nm0004763,Mary J. Blige,1971,\N
nm0004766,Steven Bochco,1943,2018
nm0004775,Todd Bridges,1965,\N
nm0004790,Scott Caan,1976,\N
nm0004798,Stephen J. Cannell,1941,2010
nm0004804,Drew Carey,1958,\N
nm0004805,Adam Carolla,1964,\N
nm0004806,Charisma Carpenter,1970,\N
nm0004815,Christine Cavanaugh,1963,2014
nm0004817,Matt Cedeño,1973,\N
nm0004823,Scarlett Chorvat,1972,\N
nm0004833,Gary Collins,1938,2012
nm0004835,Sean 'Diddy' Combs,1969,\N
nm0004839,Coolio,1963,\N
nm0004845,Elvis Costello,1954,\N
